VIOLATION_TYPE_DESC,VIOLATION_CODE,VIOLATION_PROC_DESC
P,P012,DISOBEYING OFFICIAL SIGN
P,P170,FAILURE TO DISPLAY CURRENT TAGS
P,P011,PARK MORE THAN 12 INCHES FROM CURB
P,P159,NO STOPPING OR STANDING IN AM RUSH HOUR ZONE
P,P168,NO FRONT TAGS.
P,P304,INDIVID W/ DISABILITIES ONLY UNAUTH. USE RSRVD SP
P,NO VIOL,
P,P007,PARK IN A BUS ZONE
P,P055,NO PARKING ANYTIME
P,P034,"METER, FAIL TO DEPOSIT PAYMENT"
P,P031,UNAUTHORIZED VEHICLE IN LOADING ZONE
P,P344,VEHICLE ON PRIVATE/PUBLIC PROPERTY WITHOUT CONSENT
P,P036,PARK IN OFFICIAL PARKING PERMIT ONLY SPACE
P,P047,PARK ON SIDEWALK OR AREA RESERVED FOR PEDESTRIANS
P,P302,GOVERNMENT VEHICLE PARKING ONLY
P,P039,PARK AT EXPIRED METER
P,P045,PARK IN RESERVED EMBASSY SPACE
P,P002,STAND OR PARK IN ALLEY
P,P113,FAIL TO DISPLAY CURRENT INSPECTION STICKER
P,P010,OBSTRUCTING CROSSWALK
P,P259,NO STOPPING OR STANDING IN PM RUSH HOUR ZONE
P,P020,PARK WITHIN 10 FEET OF A FIRE HYDRANT
P,P269,NO STANDING ANYTIME
P,P319,PARK IN BUS STOP OR ZONE DURING RUSH HOUR
P,P316,IMPROPER DISPLAY OF TAGS
P,P315,ILLEGIBLE TAGS.
P,P022,PARK ON TAXICAB STAND
P,P029,PARK WITH LEFT WHEEL TO THE CURB
P,P303,RESERVED RESIDENTIAL SPACE PERSONS W/ DISABILTIES
P,P050,PARKED WITHIN 25 FEET OF A STOP SIGN
P,P015,"OBSTRUCTING ENTRANCE OF PKG GARAGE, DOOR OR GATE"
P,P001,PARK ABREAST OF ANOTHER VEHICLE
P,P429,"BUS LANE, UNAUTHORIZED VEHICLE PARKED IN"
V,P015,"OBSTRUCTING ENTRANCE OF PKG GARAGE, DOOR OR GATE"
P,P014,EMERGENCY NO PARKING
P,P043,PARK TO REDUCE ROADWAY TO LESS THAN 10 FEET
P,P385,"STOPPING, STANDING OR PARKING VEHICLE IN BIKE LANE"
P,P003,RESIDENTIAL PERMIT PKING BEYOND LIMIT W/O PERMIT
M,NO VIOL,
P,P332,ABANDON VEHICLE ON PUBLIC/PRIVATE PROPERTY VIOL 1
P,P017,EXCESSIVE IDLING.
P,P318,"PARK IN MEDIAN, ISLAND, OR SAFETY ZONE"
P,P314,FAIL TO PROPERLY AFFIX VALIDATION STICKERS
P,P322,PARK OVERTIME IN TIMED ZONE
P,P104,FAIL TO DISPLAY CURRENT DC VEHICLE TAGS
P,P059,PARK IN A FIRE LANE
P,P271,NO STOPPING ANYTIME
P,P069,NO REAR BUMPER
P,P013,PARK WITHIN 5 FEET OF DRIVEWAY OR ALLEY
P,P434,UNAUTHORIZED  USE IND. W/ DISABILITIES PARK PRIV
