Year,CountyNum,CountyName,Sector,RNR, MMTherms 
1990,1,ALAMEDA,Ag With Water Pump,Non-Residential,3.5678
1990,1,ALAMEDA,Commercial,Non-Residential,88.459
1990,1,ALAMEDA,Industrial,Non-Residential,132.4859
1990,1,ALAMEDA,Mining,Non-Residential,1.1875
1990,1,ALAMEDA,Residential,Residential,271.2876
1990,1,ALAMEDA,TCU,Non-Residential,4.2054
1990,3,AMADOR,Ag With Water Pump,Non-Residential,0.0068
1990,3,AMADOR,Commercial,Non-Residential,2.743
1990,3,AMADOR,Industrial,Non-Residential,8.901
1990,3,AMADOR,Mining,Non-Residential,0.0011
1990,3,AMADOR,Residential,Residential,1.616
1990,3,AMADOR,TCU,Non-Residential,0.0062
1990,4,BUTTE,Ag With Water Pump,Non-Residential,0.4235
1990,4,BUTTE,Commercial,Non-Residential,10.5573
1990,4,BUTTE,Industrial,Non-Residential,5.8226
1990,4,BUTTE,Mining,Non-Residential,0.0634
1990,4,BUTTE,Residential,Residential,28.1805
1990,4,BUTTE,TCU,Non-Residential,0.1621
1990,5,CALAVERAS,Commercial,Non-Residential,0.2924
1990,5,CALAVERAS,Industrial,Non-Residential,0.03
1990,5,CALAVERAS,Mining,Non-Residential,0.0001
1990,5,CALAVERAS,Residential,Residential,0.4173
1990,5,CALAVERAS,TCU,Non-Residential,0.0089
1990,6,COLUSA,Ag With Water Pump,Non-Residential,0.0303
1990,6,COLUSA,Commercial,Non-Residential,2.1329
1990,6,COLUSA,Industrial,Non-Residential,8.3138
1990,6,COLUSA,Mining,Non-Residential,1.2947
1990,6,COLUSA,Residential,Residential,2.2068
1990,6,COLUSA,TCU,Non-Residential,0.0141
1990,7,CONTRA COSTA,Ag With Water Pump,Non-Residential,2.2393
1990,7,CONTRA COSTA,Commercial,Non-Residential,46.5086
1990,7,CONTRA COSTA,Industrial,Non-Residential,648.0705
1990,7,CONTRA COSTA,Mining,Non-Residential,2.834
1990,7,CONTRA COSTA,Residential,Residential,188.6395
1990,7,CONTRA COSTA,TCU,Non-Residential,2.084
1990,9,EL DORADO,Ag With Water Pump,Non-Residential,0.3696
1990,9,EL DORADO,Commercial,Non-Residential,5.9131
1990,9,EL DORADO,Industrial,Non-Residential,1.3161
1990,9,EL DORADO,Mining,Non-Residential,0.0449
1990,9,EL DORADO,Residential,Residential,0.9003
1990,9,EL DORADO,TCU,Non-Residential,0.0774
1990,10,FRESNO,Ag With Water Pump,Non-Residential,6.8697
1990,10,FRESNO,Commercial,Non-Residential,42.1855
1990,10,FRESNO,Industrial,Non-Residential,71.4182
1990,10,FRESNO,Mining,Non-Residential,60.9577
1990,10,FRESNO,Residential,Residential,111.3947
1990,10,FRESNO,TCU,Non-Residential,2.0977
1990,11,GLENN,Ag With Water Pump,Non-Residential,0.3923
1990,11,GLENN,Commercial,Non-Residential,1.3375
1990,11,GLENN,Industrial,Non-Residential,9.7202
1990,11,GLENN,Mining,Non-Residential,0.8064
1990,11,GLENN,Residential,Residential,2.8226
1990,11,GLENN,TCU,Non-Residential,0.0114
1990,12,HUMBOLDT,Ag With Water Pump,Non-Residential,0.4723
1990,12,HUMBOLDT,Commercial,Non-Residential,8.6449
1990,12,HUMBOLDT,Industrial,Non-Residential,22.6965
1990,12,HUMBOLDT,Mining,Non-Residential,0.1072
1990,12,HUMBOLDT,Residential,Residential,21.277
1990,12,HUMBOLDT,TCU,Non-Residential,0.1519
1990,13,IMPERIAL,Ag With Water Pump,Non-Residential,0.7269
1990,13,IMPERIAL,Commercial,Non-Residential,2.1189
1990,13,IMPERIAL,Industrial,Non-Residential,15.4454
1990,13,IMPERIAL,Mining,Non-Residential,0.0006
1990,13,IMPERIAL,Residential,Residential,6.5402
1990,13,IMPERIAL,TCU,Non-Residential,0.0745
1990,15,KERN,Ag With Water Pump,Non-Residential,8.2298
1990,15,KERN,Commercial,Non-Residential,53.227
1990,15,KERN,Industrial,Non-Residential,144.8137
1990,15,KERN,Mining,Non-Residential,"1,600.33"
1990,15,KERN,Residential,Residential,95.3722
1990,15,KERN,TCU,Non-Residential,4.2399
