state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration_code,sample_duration,pollutant_standard,metric_used,method,year,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,valid_day_count,required_day_count,exceptional_data_count,null_observation_count,primary_exceedance_count,secondary_exceedance_count,certification_indicator,arithmetic_mean,standard_deviation,first_max_value,first_max_datetime,second_max_value,second_max_datetime,third_max_value,third_max_datetime,fourth_max_value,fourth_max_datetime,first_max_nonoverlap_value,first_max_n_o_datetime,second_max_nonoverlap_value,second_max_n_o_datetime,ninety_ninth_percentile,ninety_eighth_percentile,ninety_fifth_percentile,ninetieth_percentile,seventy_fifth_percentile,fiftieth_percentile,tenth_percentile,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change
06,073,1006,44201,1,32.842318,-116.768293,NAD83,Ozone,1,1 HOUR,Ozone 1-hour 1979,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET,2021,Parts per million,No Events,7978,98.0,Y,357,365,0,782,0,0,Certified,0.060773,0.01212,0.099,2021-09-05 12:00,0.095,2021-09-08 13:00,0.092,2021-08-24 04:00,0.091,2021-08-03 11:00,,,,,0.091,0.087,0.081,0.077,0.07,0.06,0.046,Alpine,"2300 VICTORIA DR., ALPINE",California,San Diego,Alpine,41740,"San Diego-Carlsbad, CA",2024-05-26
06,073,1006,44201,1,32.842318,-116.768293,NAD83,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,2021,Parts per million,No Events,8601,97.0,Y,354,365,0,0,0,0,Certified,0.054079,0.009532,0.08,2021-09-05 10:00,0.078,2021-06-12 09:00,0.078,2021-08-24 10:00,0.078,2021-09-08 10:00,,,,,0.078,0.075,0.069,0.067,0.061,0.053,0.043,Alpine,"2300 VICTORIA DR., ALPINE",California,San Diego,Alpine,41740,"San Diego-Carlsbad, CA",2024-05-26
06,073,1006,44201,1,32.842318,-116.768293,NAD83,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,2021,Parts per million,No Events,8601,97.0,Y,354,365,0,0,6,6,Certified,0.054079,0.009532,0.08,2021-09-05 10:00,0.078,2021-06-12 09:00,0.078,2021-08-24 10:00,0.078,2021-09-08 10:00,,,,,0.078,0.075,0.069,0.067,0.061,0.053,0.043,Alpine,"2300 VICTORIA DR., ALPINE",California,San Diego,Alpine,41740,"San Diego-Carlsbad, CA",2024-05-26
06,073,1006,44201,1,32.842318,-116.768293,NAD83,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,2021,Parts per million,No Events,6131,98.0,Y,356,365,0,0,15,15,Certified,0.054048,0.009557,0.08,2021-09-05 10:00,0.078,2021-06-12 09:00,0.078,2021-08-24 10:00,0.078,2021-09-08 10:00,,,,,0.078,0.075,0.069,0.067,0.061,0.053,0.043,Alpine,"2300 VICTORIA DR., ALPINE",California,San Diego,Alpine,41740,"San Diego-Carlsbad, CA",2024-05-26
06,059,0007,44201,1,33.83062,-117.93845,WGS84,Ozone,1,1 HOUR,Ozone 1-hour 1979,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET,2021,Parts per million,No Events,8673,98.0,Y,356,365,0,87,0,0,Certified,0.045197,0.010271,0.089,2021-09-04 13:00,0.079,2021-08-26 14:00,0.076,2021-10-02 15:00,0.075,2021-09-05 13:00,,,,,0.075,0.07,0.062,0.057,0.051,0.045,0.033,Anaheim,1630 W. PAMPAS LANE,California,Orange,Anaheim,31080,"Los Angeles-Long Beach-Anaheim, CA",2024-05-26
06,059,0007,44201,1,33.83062,-117.93845,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,2021,Parts per million,No Events,8638,98.0,Y,356,365,0,0,0,0,Certified,0.038851,0.00969,0.068,2021-09-04 10:00,0.067,2021-08-26 10:00,0.066,2021-09-05 10:00,0.063,2021-10-02 10:00,,,,,0.063,0.056,0.052,0.049,0.045,0.04,0.027,Anaheim,1630 W. PAMPAS LANE,California,Orange,Anaheim,31080,"Los Angeles-Long Beach-Anaheim, CA",2024-05-26
06,059,0007,44201,1,33.83062,-117.93845,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,2021,Parts per million,No Events,8638,98.0,Y,356,365,0,0,0,0,Certified,0.038851,0.00969,0.068,2021-09-04 10:00,0.067,2021-08-26 10:00,0.066,2021-09-05 10:00,0.063,2021-10-02 10:00,,,,,0.063,0.056,0.052,0.049,0.045,0.04,0.027,Anaheim,1630 W. PAMPAS LANE,California,Orange,Anaheim,31080,"Los Angeles-Long Beach-Anaheim, CA",2024-05-26
06,059,0007,44201,1,33.83062,-117.93845,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,2021,Parts per million,No Events,6120,97.0,Y,355,365,0,0,0,0,Certified,0.038935,0.009622,0.068,2021-09-04 10:00,0.067,2021-08-26 10:00,0.066,2021-09-05 10:00,0.063,2021-10-02 10:00,,,,,0.063,0.056,0.052,0.049,0.045,0.04,0.027,Anaheim,1630 W. PAMPAS LANE,California,Orange,Anaheim,31080,"Los Angeles-Long Beach-Anaheim, CA",2024-05-26
06,089,0007,44201,1,40.452913,-122.298866,WGS84,Ozone,1,1 HOUR,Ozone 1-hour 1979,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET ABSORPTION,2021,Parts per million,No Events,8582,98.0,Y,358,365,0,178,0,0,Certified,0.042324,0.013335,0.076,2021-08-15 14:00,0.075,2021-09-08 14:00,0.073,2021-08-14 13:00,0.072,2021-05-13 17:00,,,,,0.072,0.07,0.064,0.06,0.051,0.041,0.026,Anderson - North Street," 2220 NORTH STREET, ANDERSON, CA 96007",California,Shasta,Anderson,39820,"Redding, CA",2024-05-26
06,089,0007,44201,1,40.452913,-122.298866,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,2021,Parts per million,No Events,8620,98.0,Y,357,365,0,0,0,0,Certified,0.037246,0.01303,0.067,2021-05-13 12:00,0.065,2021-08-24 11:00,0.063,2021-08-23 11:00,0.063,2021-08-25 11:00,,,,,0.063,0.061,0.058,0.054,0.046,0.038,0.018,Anderson - North Street," 2220 NORTH STREET, ANDERSON, CA 96007",California,Shasta,Anderson,39820,"Redding, CA",2024-05-26
